Domain,Feature,Intended behavior,Actual behavior,Implementation status,Verification evidence,Deployment status,Remaining work,Source references
Accounting core,Double-entry journal postings,Every financial event posts a balanced journal entry,Implemented; entries balance and suites assert exhaustive account sets,complete,automated - verify:server tier run 12 Sep 2026 0 fail,unverified,None,src/lib/accounting.ts; verify/verify-fx-posting.mjs
Accounting core,Journal idempotency by (sourceType sourceId),A retry or concurrent click cannot double-post,Keyed on the pair; payment_reversal keys off the same payments.id as its payment entry,complete,automated - verify:payment-reversal 55/55,unverified,None,src/app/(app)/finance/payments/actions.ts
Accounting core,Chart of accounts,Org-scoped COA with standard accounts,Implemented with bilingual account names,complete,automated - verify-account-arabic 34/34,unverified,None,src/app/(app)/finance/chart-of-accounts
Accounting core,General ledger view,Ledger browsable by account and period,Implemented; balances read from ledger only,complete,automated - verify:ledger-only-balances,unverified,None,src/app/(app)/finance/ledger
Accounting core,Manual journal entries,Users can post manual journals,Implemented,complete,source,unverified,None,src/app/(app)/finance/journal/actions.ts
Accounting core,Ledger-only balance invariant,No stored field is ever added to a ledger aggregate,Enforced statically across all consumers found by import not by name,complete,automated - verify:ledger-only-balances 8/8,unverified,None,verify/verify-ledger-only-balances.mts
Accounting core,Append-only audit trail,audit_logs and security_events cannot be updated or deleted,Enforced by database trigger installed by db:push,complete,automated - verify:db-hardening against live DB,unverified,None,drizzle/immutable_audit.sql; scripts/apply-db-hardening.ts
Accounting core,Money precision,Amounts held at numeric(15 3) with no float drift,Strings through the application; per-currency epsilon not a fixed 0.005,complete,automated - verify:money-precision; money-round-trip 44/44,unverified,None,src/lib/money.ts
Accounting core,Currency minor units,3-decimal currencies (KWD BHD) handled correctly,Per-currency epsilon; a prior fixed-threshold defect is asserted fixed,complete,automated - verify:money-round-trip 44/44,unverified,None,src/lib/money.ts
Accounting core,FX conversion at posting date,Convert once at posting and store; never re-convert on read,Implemented consistently across all posting paths,complete,automated - verify:fx-posting 108/108,unverified,None,src/lib/base-amounts-sql.ts
Accounting core,Stored base amounts,Foreign documents carry posting-time base columns,Implemented; nullable means not converted,complete,automated - verify:base-backfill 21/21,unverified,None,src/lib/base-amounts-sql.ts
Accounting core,Missing-rate handling,An operation with no usable rate refuses rather than guessing,Refuses with one-click fetch offered,complete,automated - verify:rate-fetch 27/27,unverified,None,src/app/(app)/_shared/missing-rate-actions.ts
Accounting core,Realized FX gain/loss,Differences land in 4900,Implemented,complete,automated - verify:fx-posting,unverified,None,src/lib/accounting.ts
Accounting core,Unconverted rows excluded and counted,Reports say they are short rather than totalling quietly wrong,Excluded and counted,partial,automated - verify:fx-reporting 16/16,unverified,Historical completeness depends on how many legacy rows production holds - needs a production query,src/lib/base-amounts-sql.ts
Payments,Record payment against invoice,Dr Bank / Cr 1100 and update paid amounts,Implemented,complete,automated - verify:payment-fx 66/66,unverified,None,src/app/(app)/finance/payments/actions.ts
Payments,Record payment against purchase order,Mirror of the invoice path with inverted signs,Implemented,complete,automated - verify:payment-reversal,unverified,None,src/app/(app)/finance/payments/actions.ts
Payments,Payment reversal - ledger mirroring,Reversal mirrors stored journal lines rather than recomputing,Implemented for both document types,complete,automated - verify:payment-reversal 55/55,unverified,None,src/lib/payment-reversal.ts
Payments,Payment reversal - invoice status,Status restored accounting for all settlement channels,Recomputed from paid and total only; credited_amount neither selected nor used,defective,automated - reproduced numerically 12 Sep 2026,unverified,Select credited_amount in the FOR UPDATE query and route status through settlementOf; assert at the action layer,src/app/(app)/finance/payments/actions.ts:966-989; src/lib/payment-reversal.ts:109
Payments,Payment reversal - double reversal refused,A reversed payment cannot be reversed again,Refused with explicit kind === null check,complete,automated - verify:payment-reversal,unverified,None,src/lib/payment-reversal.ts:46
Payments,Delete refused where Reverse applies,Server refuses delete for payments Reverse covers,Refused server-side and proven by action replay with a working control,complete,automated - verify-delete-refusal 16/16,unverified,None,verify/verify-delete-refusal.mjs
Payments,Proforma advance receipt delete retained,Advance receipts keep Delete since reversal does not cover them,Retained; narrowness asserted positively,complete,automated - verify-delete-refusal,unverified,None,src/app/(app)/finance/payments/actions.ts
Payments,Payment history display,Payment history shown on invoice PO and proforma with reversed rows distinct,Implemented; reversed rows struck through and marked,complete,automated - browser tier,unverified,None,src/app/(app)/finance/_shared/payment-history.tsx
Payments,Payments register outstanding balance,Picker shows what is genuinely owed,total - paidAmount omitting creditedAmount; overstated for credited invoices,defective,source - read 12 Sep 2026,unverified,Select and subtract creditedAmount; PO row at line 101 is correct as-is,src/app/(app)/finance/payments/page.tsx:45-59 94
Payments,Purchase order payment cap,Payments cannot exceed the order total,No cap,missing,source,unverified,Add cap mirroring the credit-note cap,docs/backlog.md
Payments,Purchase order paid status,A fully-paid PO reflects it,POs have no paid state; paying in full leaves received. Deliberate and documented at the code site,deferred,source - absence asserted by verify:payment-reversal,unverified,Owner decision plus full blast radius,src/app/(app)/finance/payments/actions.ts:1010-1017
Payments,Bank opening balances,Opening balance posts exactly once and is idempotent,Implemented with contra-account selection,complete,automated - verify:bank-opening 18/18 + backfill 31/31,unverified,None,src/lib/bank-opening.ts
Advances,Advance receipt posts to 2300 not AR,Cash receipt is not revenue recognition,Dr Bank / Cr 2300; held as liability until allocated,complete,automated - verify-advances 172/172,unverified,None,src/lib/advance-allocations.ts
Advances,Advance allocation to invoice,Allocation moves liability to settlement,Implemented,complete,automated - verify:advance-allocations 23/23,unverified,None,src/lib/advance-allocations.ts
Advances,Advance release,Release returns allocation to the pot,Implemented,complete,automated - verify:advance-release 15/15,unverified,None,src/lib/advance-allocations.ts
Advances,Advance refund,Refund books a real cash payout,Implemented and kept distinct from release,complete,automated - verify:advance-refunds 10/10,unverified,None,src/lib/advance-allocations.ts
Advances,Credit-note release of allocations,A credit note releases allocations capped at over-settlement,Implemented,complete,automated - verify:credit-note-release 40/40,unverified,None,src/app/(app)/sales/credit-notes/actions.ts
Advances,Four channels kept distinct,Allocation release refund and credit note never conflated,Distinct throughout,complete,automated - verify-advances,unverified,None,src/lib/advance-allocations.ts
Advances,Advance survives its proforma,An advance outliving its proforma stays a 2300 liability,Implemented deliberately,complete,source + automated,unverified,None,docs/backlog.md:258
Advances,Advance project attribution,Advance cash visible in project reporting,Cannot be attributed - advances live on proformas which carry no project,partial,source,unverified,Follows the proforma projectId decision,docs/backlog.md:886
Credit notes,Credit note issuance and cap,Sum of active notes cannot exceed the invoice total,Implemented and capped,complete,automated - verify:credit-note-release,unverified,None,src/app/(app)/sales/credit-notes/actions.ts
Credit notes,Credit note FX inheritance,Note inherits its source's stored rate and posts no 4900 line,Implemented for credit and debit notes,complete,automated - verify:note-fx 40/40,unverified,None,src/lib/reversal-currency.ts
Credit notes,Closing note exact remainder,The note that closes its source takes the exact remainder,Implemented; 17 stranded fils before 0 after,complete,automated - verify:note-fx sweep 0 strands,unverified,None,src/lib/reversal-currency.ts
Credit notes,100 percent note returns base revenue to zero,Crediting in full leaves no phantom FX inside 4000,Returns exactly zero,complete,automated - verify:note-fx,unverified,None,src/lib/reversal-currency.ts
Credit notes,Note renders in its source's currency,A USD note shows dollars not riyals on screen and in PDF,Fixed for both note types screen and PDF,complete,automated - verify-note-currency 19/19,unverified,None,src/app/(app)/sales/credit-notes/[id]
Credit notes,Credit note as its own settlement channel,Credit does not inflate Paid,Split into creditedAmount; Credited shown as its own row,complete,automated - verify:settlement 29/29,unverified,None,src/lib/settlement.ts
Credit notes,Credit note on a cash-paid invoice,Credit given against a settled invoice lands somewhere coherent,No allocation to release so Cr 1100 stands alone; GL 1100 negative while aging drops the row - control account and subledger disagree,partial,source - re-derived at HEAD 12 Sep 2026,unverified,Decide the destination; 2300 is the consistent answer. Changes non-advance note behaviour and its tests,docs/backlog.md:533; src/lib/finance-reports.ts:352-353
Credit notes,Debit note cap,A debit note cannot exceed its purchase order,Credit notes capped; debit notes are not. Only remaining asymmetry,missing,source,unverified,Mirror the credit-note cap,docs/backlog.md
Credit notes,Debit note concurrent issue guard,Two clicks on Issue cannot both post,Status re-checked under lock,complete,automated - verify:note-fx,unverified,None,src/app/(app)/purchasing/debit-notes/actions.ts
Sales documents,Quotation lifecycle,Draft issue accept reject expire,Implemented,complete,automated - verify:edit-action 59/59,unverified,None,src/app/(app)/sales/quotations
Sales documents,Sales order lifecycle,Draft confirm fulfil cancel,Implemented,complete,automated - verify:edit-action,unverified,None,src/app/(app)/sales/orders
Sales documents,Proforma invoice lifecycle,Draft send convert,Implemented,complete,automated - verify-proforma-payments,unverified,None,src/app/(app)/sales/proforma
Sales documents,Sales invoice lifecycle,Draft send partially_paid paid void,Implemented,complete,automated - verify:edit-action; verify:settlement,unverified,None,src/app/(app)/sales/invoices
Sales documents,Delivery challan lifecycle,Draft dispatch deliver,Implemented; no bank interaction,complete,automated - verify-dc-no-bank 21/21,unverified,None,src/app/(app)/sales/delivery-challans
Sales documents,Credit note lifecycle,Draft issue reverse,Implemented,complete,automated - verify:edit-action,unverified,None,src/app/(app)/sales/credit-notes
Sales documents,Debit note lifecycle,Draft issue reverse,Implemented,complete,automated - verify:edit-action,unverified,None,src/app/(app)/purchasing/debit-notes
Sales documents,Purchase order lifecycle,Draft order receive cancel,Implemented,complete,automated - verify:edit-action,unverified,None,src/app/(app)/purchasing/orders
Sales documents,Document conversion chain,Quotation to SO to Proforma to Invoice to Challan,Implemented; project attribution survives every hop except the proforma,partial,automated - verify-edit-e2e 132/132,unverified,Proforma projectId - see Projects domain,src/app/(app)/sales
Sales documents,Edit availability matrix,Only draft documents editable with correct refusal messages,Implemented across all eight types including soft-deleted and archived drafts and unknown statuses,complete,automated - verify:edit-action 59/59,unverified,None,src/lib/document-lifecycle.ts
Sales documents,Refusals name the corrective path,A refusal tells the user what to do instead,Implemented,complete,automated - verify:edit-action,unverified,None,src/lib/document-lifecycle.ts
Sales documents,Document duplication,Duplicate a document into a new draft,Implemented,complete,automated - verify-duplicate 40/40,unverified,None,src/lib/document-duplicate.ts
Sales documents,Favorites,Mark documents as favorite,Implemented,complete,automated - verify-favorites 20/20,unverified,None,src/app/(app)/favorites-actions.ts
Sales documents,Saved views and filters,Save and reuse list filters,Implemented,complete,source,unverified,None,src/app/(app)/documents/_workspace/saved-view-actions.ts
Sales documents,Document column configuration,Configure visible columns per document type,Implemented,complete,source,unverified,None,src/app/(app)/sales/_shared/column-config-actions.ts
Sales documents,Attachments,Attach files to documents,Implemented with validated upload,complete,source,unverified,Blob access control - see Security domain,src/lib/storage/blob-storage.ts
Purchasing,Vendor management,Create edit archive vendors,Implemented with recycle bin,complete,automated - verify-vendor-inline,unverified,None,src/app/(app)/purchasing/vendors
Purchasing,Inline vendor creation,Create a vendor without leaving the document form,Implemented,complete,automated - verify-vendor-inline,unverified,None,verify/verify-vendor-inline.mjs
Purchasing,Purchase order receipt posting,Receiving a PO posts Dr Inventory / Cr AP,Implemented,complete,automated - verify:payment-reversal fixture,unverified,None,src/app/(app)/purchasing/orders/actions.ts
Purchasing,PO payment history section,Payment history on the PO detail page,Implemented with showPayments gate,complete,automated - browser tier,unverified,None,src/app/(app)/purchasing/orders/[id]/page.tsx
Purchasing,Vendor bills,Vendor bill capture distinct from PO,Not traced by this audit; not confirmed absent,unknown,blocked,unverified,Trace or confirm scope,-
Purchasing,Input VAT treatment,Input VAT recorded and reportable,Not traced by this audit,unknown,blocked,unverified,Trace input-VAT treatment,-
Purchasing,Purchasing reports,Payables visible in reporting,Payable aging implemented,complete,automated - verify:statements,unverified,None,src/lib/finance-reports.ts:387
Reporting,Profit and loss,P&L from ledger,Implemented,complete,automated - verify:fx-reporting,unverified,None,src/lib/finance-reports.ts
Reporting,Balance sheet,BS from ledger,Implemented,complete,automated - verify:fx-reporting,unverified,None,src/lib/finance-reports.ts
Reporting,Cash flow,Cash flow statement,Implemented,complete,source,unverified,None,src/lib/finance-reports.ts
Reporting,Trial balance,TB from ledger,Implemented,complete,source,unverified,None,src/lib/finance-reports.ts
Reporting,General ledger report,GL detail by account,Implemented,complete,source,unverified,None,src/app/(app)/finance/ledger
Reporting,Receivable aging,AR aged by bucket,Implemented and now credited-aware,partial,automated - verify:statements 70/70,unverified,Rows with outstanding <= 0 are dropped which is where the cash-paid credit-note divergence surfaces,src/lib/finance-reports.ts:365-384
Reporting,Payable aging,AP aged by bucket,Implemented,complete,automated - verify:statements,unverified,None,src/lib/finance-reports.ts:387
Reporting,Customer and vendor statements - amounts,Statement amounts derived from the ledger,Ledger-derived; payments table used only to decorate rows,complete,automated - verify:statements 70/70,unverified,None,src/lib/statements.ts
Reporting,Statement payment-status label,Statement lines label settlement state correctly,payStatus omits credited; a fully-credited invoice reads unpaid or partial. Amounts unaffected,defective,source,unverified,Pass credited into payStatus for sales invoices,src/lib/statements.ts:198-202 259
Reporting,VAT reporting,VAT reportable,Implemented,complete,source,unverified,Input VAT not traced,src/lib/finance-reports.ts
Reporting,Report and statement export,Export reports and statements,Implemented via route handlers,complete,source,unverified,None,src/app/(app)/finance/reports/export/route.ts
Reporting,Dashboard receivables and payables,Dashboard totals from a single shared expression,Implemented; GREATEST(0 ...) floor prevents a negative contribution,complete,automated - verify-fx-dashboard 6/6,unverified,None,src/app/(app)/dashboard/_shared/queries.ts
Projects,Project CRUD,Create edit archive projects,Implemented,complete,source,unverified,None,src/app/(app)/projects/actions.ts
Projects,Project cost control report,Committed vs actual never mixed; nothing estimated,Implemented with careful stated principles,complete,automated - verify:project-costing 41/41,unverified,None,src/lib/project-costing.ts
Projects,Project cash received,Counts cash actually received and still standing,No reversed_at is null predicate; a reversed payment still counts as project cash,defective,source - query read line by line 12 Sep 2026,unverified,Add the predicate; extend the suite with a reversed-payment fixture,src/lib/project-costing.ts:237-253
Projects,Project revenue attribution,Revenue attributed to its project,Invoices born from proformas carry no project - proforma_invoices has no projectId column,missing,source - schema grep + backlog corroboration,unverified,Add column carry through conversion decide backfill,src/db/schema/proforma-invoices.ts; docs/backlog.md:853
Projects,Tasks and time logs,Tasks and time tracking per project,Implemented; labour from time logs returned separately as an estimate and excluded from total cost,complete,automated - verify:project-costing,unverified,None,src/lib/project-costing.ts
Projects,Project advance visibility,Advances visible against a project,Not possible - advances live on proformas,partial,source,unverified,Follows the proforma projectId decision,docs/backlog.md:886
Inventory,Product CRUD,Create edit archive products,Implemented with recycle bin,complete,source,unverified,None,src/app/(app)/inventory/products/actions.ts
Inventory,Stock adjustment,Adjust stock levels,Implemented,complete,source,unverified,None,src/app/(app)/inventory/products/adjust-stock-dialog.tsx
Inventory,Fractional quantities,Fractional stock quantities handled correctly,Implemented at numeric precision,complete,source,unverified,Not independently verified by this audit,src/db/schema/products.ts
Inventory,Product images,Product images uploaded and shown,Implemented with validated upload,complete,source,unverified,Blob access control - see Security domain,src/lib/storage/blob-storage.ts
Inventory,Inventory valuation and COGS,Inventory valued and cost of goods sold posted,No COGS or valuation method evidenced in the accounting layer,partial,source - targeted search found nothing,unverified,Confirm whether intended; if so design it,src/app/(app)/inventory/products/actions.ts
HR,Employee CRUD,Create edit employees,Implemented,complete,source,unverified,None,src/app/(app)/hr/employees/actions.ts
HR,Departments,Create edit remove departments,41-line read-only page; the only HR module with no actions.ts,partial,source,unverified,Build CRUD bilingual from the outset,src/app/(app)/hr/departments/page.tsx
HR,Attendance,Record and review attendance,Implemented,complete,source,unverified,Arithmetic not verified by this audit,src/app/(app)/hr/attendance/actions.ts
HR,Leave,Leave requests and approval,Implemented,complete,source,unverified,Accrual not verified by this audit,src/app/(app)/hr/leave/actions.ts
HR,Payroll runs,Run payroll from salary structures,Implemented,complete,source,unverified,Arithmetic not verified and not covered by any suite run here,src/app/(app)/hr/payroll/actions.ts
HR,Salary structures,Per-employee salary structure,Implemented and read by project costing for labour estimates,complete,automated - verify:project-costing,unverified,None,src/app/(app)/hr/payroll/queries.ts
HR,Employee photos,Employee photo upload,Implemented with validated upload,complete,source,unverified,Blob access control - see Security domain,src/lib/storage/blob-storage.ts
Master data,Client CRUD,Create edit archive clients,Implemented with recycle bin,complete,automated - verify:client-import,unverified,None,src/app/(app)/clients/actions.ts
Master data,Client import,Bulk import clients,Implemented,complete,automated - verify:client-import,unverified,None,verify/verify-client-import.mts
Master data,Document import,Bulk import documents,Implemented,complete,automated - verify:docs-import 339/339,unverified,None,verify/verify-docs-import.mts
Master data,Import templates,Downloadable import templates,Implemented,complete,source,unverified,None,src/app/api/import-template/[module]/route.ts
Master data,Document export,Export document lists,Implemented,complete,source,unverified,None,src/app/(app)/documents/export/route.ts
Master data,Document numbering,Per-org per-type sequences,Implemented,complete,source,unverified,None,src/db/schema/document-sequences.ts
Master data,Taxes and tax presets,Configurable tax rates,Implemented,complete,source,unverified,None,src/app/(app)/settings/presets/actions.ts
Master data,Currencies,Multi-currency support,Implemented with currency lock after posting,complete,automated - verify-currency-lock 13/13,unverified,None,verify/verify-currency-lock.mjs
Master data,Exchange rates,Rates fetched stored and reviewable,Implemented with one-click fetch,complete,automated - verify:exchange-rates 57/57; verify:rate-fetch 27/27,unverified,None,src/lib/rates/open-er-api.ts
Master data,Payment terms and due dates,Invoice due dates from payment terms,Implemented,complete,automated - verify-duedate,unverified,None,verify/verify-duedate.mjs
Master data,Document presets and layouts,Configurable document presets,Implemented,complete,automated - verify-preset-zatca,unverified,None,src/app/(app)/settings/presets/document-preset-actions.ts
Master data,Country profiles,Per-country feature gating,Implemented; gates the ZATCA Phase 1 surface,complete,automated - verify-preset-zatca,unverified,ZATCA output not yet country-gated - asymmetry filed,src/lib/geo/countries.ts
Master data,Bank accounts,Bank account management with opening balances,Implemented,complete,automated - verify:bank-opening 18/18,unverified,None,src/app/(app)/finance/bank-accounts
Localisation,Bilingual dictionary,Every user-facing string has an Arabic entry,1587 entries; exactly one without Arabic and it is the placeholder you@company.com,complete,automated - all entries parsed 12 Sep 2026,unverified,None,src/lib/i18n/dict.ts
Localisation,English fallback safety,A missing translation renders correct English not a broken key,English is the dictionary key,complete,automated,unverified,None,src/lib/i18n/dict.ts
Localisation,RTL layout,Arabic renders right-to-left with mirrored layout,dir set at the document root,complete,automated - browser tier,unverified,Per-route completeness not exhaustively verified,src/app/layout.tsx:42
Localisation,LTR-forced numerics in RTL,Numbers dates and currency stay LTR inside RTL pages,Convention documented and applied,complete,source + browser tier,unverified,None,CLAUDE.md
